qseqid	hogid	overlap	family-score	subfamily-score	family-count	family-normcount	subfamily-count	qseqlen	subfamily-medianseqlen
tr|A0A4U1EBP7|A0A4U1EBP7_MONMO	HOG:C0594462	0.3584905660377358	266.69486789206366	0.2608678853242798	57	0.2746996583206296	54	213	131
tr|A0A4U1ECK4|A0A4U1ECK4_MONMO	HOG:C0623038.3b	0.9436619718309859	512.1881131805976	0.35087596551597594	97	0.46579013581947165	60	214	217
tr|A0A4U1EFA0|A0A4U1EFA0_MONMO	HOG:C0668128.14a.4b.3b	0.7280701754385965	518.9114234613447	0.3111110189359061	78	0.7154575224718364	14	115	81
tr|A0A4U1EFH7|A0A4U1EFH7_MONMO	HOG:C0614287.1c	1.0	1905.997646383637	0.8393384249161607	313	0.8644530043685111	256	368	343
tr|A0A4U1EFL3|A0A4U1EFL3_MONMO	HOG:C0584028	0.9548762736535662	4059.248312908422	0.8221410818715453	453	0.8221289297892932	453	688	519
tr|A0A4U1EFT0|A0A4U1EFT0_MONMO	HOG:C0614122.3a	1.0	2961.3803423311333	0.7530074163887187	558	0.9312969281776665	125	605	1242
tr|A0A4U1EFZ8|A0A4U1EFZ8_MONMO	HOG:C0664249.5b.1c.4g.14c.15b	1.0	1397.460117649862	0.3478259252658496	296	0.9576257757053768	8	315	301
tr|A0A4U1EG57|A0A4U1EG57_MONMO	HOG:C0663529.9f.21b.29e.41a	1.0	1930.9343381458973	0.7142851427994431	404	0.9925709829843089	10	413	428
tr|A0A4U1EG60|A0A4U1EG60_MONMO	HOG:C0599207	0.9760225669957687	7648.678474579034	0.8872274078587467	1251	0.8870674180787602	1251	1419	1380
tr|A0A4U1EGM1|A0A4U1EGM1_MONMO	HOG:C0597528.1b	0.5214723926380368	1487.2463190967103	0.28133604494840586	229	0.4729636312000769	101	490	459
tr|A0A4U1EHK1|A0A4U1EHK1_MONMO	HOG:C0613706.2b	0.8550295857988166	676.79395033569	0.3221461573843267	131	0.3928091907355432	96	339	183
tr|A0A4U1EHN4|A0A4U1EHN4_MONMO	HOG:C0890529.3a.6b.20a.9b	1.0	540.6261878020769	0.4999993613026419	107	0.7423627996031809	39	150	149
tr|A0A4U1EIX2|A0A4U1EIX2_MONMO	HOG:C0663998.5a.7a.5d.13c.15b.12b.22a	1.0	1824.4385778421542	0.6842104053358329	356	0.9860751312531766	13	367	534
tr|A0A4U1EIX3|A0A4U1EIX3_MONMO	HOG:C0606036	0.7985074626865671	2690.653746233843	0.7834248506316447	416	0.783258908969196	416	537	457
tr|A0A4U1EJN3|A0A4U1EJN3_MONMO	HOG:C0663985.10c.4b.7c.28a.46b	1.0	820.5322377514615	0.3090907804296854	149	0.7963829566711711	17	193	137
tr|A0A4U1EK25|A0A4U1EK25_MONMO	HOG:C0673280	0.8444444444444444	1138.6668594165901	0.7548228974050613	234	0.7539707005873341	234	316	265
tr|A0A4U1ELW6|A0A4U1ELW6_MONMO	HOG:C0597425	0.8963730569948186	2825.7753451578615	0.7597120224786742	430	0.7595581882687079	430	580	552
tr|A0A4U1EN71|A0A4U1EN71_MONMO	HOG:C0672818.3k.9b.12a	1.0	3389.6662574219204	0.9932641862479116	565	0.996464277337231	295	573	592
tr|A0A4U1ENJ2|A0A4U1ENJ2_MONMO	HOG:C0651940.2f	0.9983079526226735	7375.900447353399	0.9539184965930548	1123	0.9540680555553024	1118	1183	1131
tr|A0A4U1ENW2|A0A4U1ENW2_MONMO	HOG:C0604945	0.992603550295858	4093.2781945161782	0.9447690956523624	633	0.9447086864302566	633	677	674
tr|A0A4U1ENW3|A0A4U1ENW3_MONMO	HOG:C0656826.2b	0.93717277486911	1577.820658186054	0.858151487587757	328	0.8907179766773454	242	383	347
tr|A0A4U1EP20|A0A4U1EP20_MONMO	HOG:C0607072.3b	1.0	2965.9073701576754	0.5333332346290514	476	0.9733699994648136	16	500	511
tr|A0A4U1EPI2|A0A4U1EPI2_MONMO	HOG:C0664253.6a.13a	1.0	1107.0943044906774	0.9203377748273355	238	0.929196319345106	208	262	633
tr|A0A4U1EQD2|A0A4U1EQD2_MONMO	HOG:C0644383.3d	0.994994994994995	4849.50571362764	0.9566686080334579	967	0.9746508873485125	552	1000	1092
tr|A0A4U1ESE4|A0A4U1ESE4_MONMO	HOG:C0605243.1a	0.8584905660377359	2846.336710695236	0.6442661937978167	435	0.8284326073107001	163	531	644
tr|A0A4U1ESF6|A0A4U1ESF6_MONMO	HOG:C0607483	1.0	4129.688919188373	0.9816035451385566	694	0.9815694186661984	694	713	713
tr|A0A4U1ETR2|A0A4U1ETR2_MONMO	HOG:C0662876	0.9942196531791907	22.487141940576944	0.5715332958657707	256	0.4643969815470044	195	347	424
tr|A0A4U1ETZ1|A0A4U1ETZ1_MONMO	HOG:C0664820.3b.19b.29b.24a.9a.5b	1.0	601.2238303761965	0.15999957983469046	108	0.8368777154746269	4	135	118
tr|A0A4U1EU74|A0A4U1EU74_MONMO	na	na	na	na	na	na	na	106	na
